"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 12 19:13:47 UTC 2026","Sun Jul 12 19:13:49 UTC 2026","1715","","com.maku.apitest.tests.user.UserUpdateTest","","com.maku.apitest.tests.user.UserUpdateTest","should_return_401_when_no_token","修改用户-未授权：无 token 返回 code 401",""
"passed","Sun Jul 12 19:13:29 UTC 2026","Sun Jul 12 19:13:30 UTC 2026","485","","com.maku.apitest.tests.user.UserInfoTest","","com.maku.apitest.tests.user.UserInfoTest","should_return_current_user_info","当前用户信息-正向：用 admin token 查询，返回 admin 的用户信息",""
"passed","Sun Jul 12 19:13:12 UTC 2026","Sun Jul 12 19:13:14 UTC 2026","1352","","com.maku.apitest.tests.user.UserSaveTest","","com.maku.apitest.tests.user.UserSaveTest","should_fail_when_duplicate_username","新增用户-异常：用户名重复，保存失败",""
"passed","Sun Jul 12 19:12:59 UTC 2026","Sun Jul 12 19:12:59 UTC 2026","505","","com.maku.apitest.tests.auth.AuthLogoutTest","","com.maku.apitest.tests.auth.AuthLogoutTest","should_return_401_when_no_token","登出-异常：无 token，应返回 401 未授权",""
"passed","Sun Jul 12 19:13:30 UTC 2026","Sun Jul 12 19:13:31 UTC 2026","471","","com.maku.apitest.tests.user.UserInfoTest","","com.maku.apitest.tests.user.UserInfoTest","should_return_super_admin_flag_for_admin","当前用户信息-正向：admin 的 superAdmin 字段为 1（超级管理员标识）",""
"passed","Sun Jul 12 19:13:08 UTC 2026","Sun Jul 12 19:13:08 UTC 2026","493","","com.maku.apitest.tests.org.OrgListTest","","com.maku.apitest.tests.org.OrgListTest","should_return_org_list_when_default_call","列表查询-正向：返回全部机构列表，结构符合 Schema",""
"passed","Sun Jul 12 19:13:06 UTC 2026","Sun Jul 12 19:13:08 UTC 2026","1714","","com.maku.apitest.tests.org.OrgListTest","","com.maku.apitest.tests.org.OrgListTest","should_exclude_org_when_org_is_deleted","列表查询-异常：已删除的机构不应出现在列表中",""
"passed","Sun Jul 12 19:13:36 UTC 2026","Sun Jul 12 19:13:36 UTC 2026","496","","com.maku.apitest.tests.user.UserPageTest","","com.maku.apitest.tests.user.UserPageTest","should_return_page_when_default_params","分页查询-正向：默认参数返回用户列表，结构符合 Schema",""
"skipped","Sun Jul 12 19:13:58 UTC 2026","Sun Jul 12 19:13:58 UTC 2026","0","","com.maku.apitest.tests.user.UserGetByIdTest","","com.maku.apitest.tests.user.UserGetByIdTest","should_return_error_when_user_not_found","按ID查询-异常：id 不存在，服务端 NPE 返回 code=500",""
"passed","Sun Jul 12 19:13:14 UTC 2026","Sun Jul 12 19:13:14 UTC 2026","710","","com.maku.apitest.tests.user.UserSaveTest","","com.maku.apitest.tests.user.UserSaveTest","should_return_401_when_no_token","新增用户-未授权：无 token 返回 code 401",""
"passed","Sun Jul 12 19:13:26 UTC 2026","Sun Jul 12 19:13:27 UTC 2026","1084","","com.maku.apitest.tests.user.UserPasswordTest","","com.maku.apitest.tests.user.UserPasswordTest","should_fail_when_wrong_current_password","修改密码-异常：原密码错误，修改失败",""
"passed","Sun Jul 12 19:13:55 UTC 2026","Sun Jul 12 19:13:57 UTC 2026","1957","","com.maku.apitest.tests.user.UserUpdateTest","","com.maku.apitest.tests.user.UserUpdateTest","should_update_user_when_valid_data","修改用户-正向：合法数据修改成功，DB 可查到修改后的字段",""
"passed","Sun Jul 12 19:12:53 UTC 2026","Sun Jul 12 19:12:54 UTC 2026","797","","com.maku.apitest.tests.auth.AuthLoginTest","","com.maku.apitest.tests.auth.AuthLoginTest","should_fail_when_invalid_credentials","登录-异常：凭据错误 [1] 用户名不存在",""
"passed","Sun Jul 12 19:13:40 UTC 2026","Sun Jul 12 19:13:42 UTC 2026","1945","","com.maku.apitest.tests.user.UserDeleteTest","","com.maku.apitest.tests.user.UserDeleteTest","should_delete_user_when_valid_id","删除用户-正向：合法 id 删除成功，DB 中该用户不存在",""
"passed","Sun Jul 12 19:13:50 UTC 2026","Sun Jul 12 19:13:52 UTC 2026","1723","","com.maku.apitest.tests.user.UserUpdateTest","","com.maku.apitest.tests.user.UserUpdateTest","should_fail_when_missing_required_field","修改用户-异常：必填字段缺失，校验不通过 [2] 姓名缺失",""
"passed","Sun Jul 12 19:13:16 UTC 2026","Sun Jul 12 19:13:17 UTC 2026","703","","com.maku.apitest.tests.user.UserSaveTest","","com.maku.apitest.tests.user.UserSaveTest","should_fail_when_missing_required_field","新增用户-异常：必填字段缺失，校验不通过 [2] 姓名缺失",""
"passed","Sun Jul 12 19:12:58 UTC 2026","Sun Jul 12 19:12:59 UTC 2026","1313","","com.maku.apitest.tests.auth.AuthLogoutTest","","com.maku.apitest.tests.auth.AuthLogoutTest","should_return_success_when_valid_token","登出-正向：有效 token 登出成功",""
"passed","Sun Jul 12 19:13:42 UTC 2026","Sun Jul 12 19:13:44 UTC 2026","1737","","com.maku.apitest.tests.user.UserDeleteTest","","com.maku.apitest.tests.user.UserDeleteTest","should_return_401_when_no_token","删除用户-未授权：无 token 返回 code 401",""
"passed","Sun Jul 12 19:13:15 UTC 2026","Sun Jul 12 19:13:16 UTC 2026","706","","com.maku.apitest.tests.user.UserSaveTest","","com.maku.apitest.tests.user.UserSaveTest","should_fail_when_missing_required_field","新增用户-异常：必填字段缺失，校验不通过 [1] 用户名缺失",""
"passed","Sun Jul 12 19:12:54 UTC 2026","Sun Jul 12 19:12:55 UTC 2026","610","","com.maku.apitest.tests.auth.AuthLoginTest","","com.maku.apitest.tests.auth.AuthLoginTest","should_fail_when_missing_required_field","登录-异常：必填字段缺失 [1] 用户名缺失",""
"passed","Sun Jul 12 19:13:17 UTC 2026","Sun Jul 12 19:13:18 UTC 2026","713","","com.maku.apitest.tests.user.UserSaveTest","","com.maku.apitest.tests.user.UserSaveTest","should_fail_when_missing_required_field","新增用户-异常：必填字段缺失，校验不通过 [4] 机构ID缺失",""
"passed","Sun Jul 12 19:13:24 UTC 2026","Sun Jul 12 19:13:25 UTC 2026","1035","","com.maku.apitest.tests.user.UserPasswordTest","","com.maku.apitest.tests.user.UserPasswordTest","should_fail_when_missing_required_field","修改密码-异常：必填字段缺失，校验不通过 [1] 原密码缺失",""
